796,"Road-250 Black, 58",18-08-2013,30-08-2013,25-08-2013,5,1,SO54601,27937,2641.23
933,HL Road Tire,18-08-2013,30-08-2013,25-08-2013,5,1,SO54601,27937,2641.23
922,Road Tire Tube,18-08-2013,30-08-2013,25-08-2013,5,1,SO54601,27937,2641.23
873,Patch Kit/8 Patches,18-08-2013,30-08-2013,25-08-2013,5,1,SO54601,27937,2641.23
879,All-Purpose Bike Stand,18-08-2013,30-08-2013,25-08-2013,5,1,SO54601,27937,2641.23
795,"Road-250 Black, 52",30-05-2013,11-06-2013,06-06-2013,5,1,SO51179,22430,2638.94
933,HL Road Tire,30-05-2013,11-06-2013,06-06-2013,5,1,SO51179,22430,2638.94
922,Road Tire Tube,30-05-2013,11-06-2013,06-06-2013,5,1,SO51179,22430,2638.94
879,All-Purpose Bike Stand,30-05-2013,11-06-2013,06-06-2013,5,1,SO51179,22430,2638.94
792,"Road-250 Red, 58",11-09-2013,23-09-2013,18-09-2013,5,1,SO56027,20054,2638.94
922,Road Tire Tube,11-09-2013,23-09-2013,18-09-2013,5,1,SO56027,20054,2638.94
933,HL Road Tire,11-09-2013,23-09-2013,18-09-2013,5,1,SO56027,20054,2638.94
879,All-Purpose Bike Stand,11-09-2013,23-09-2013,18-09-2013,5,1,SO56027,20054,2638.94
792,"Road-250 Red, 58",09-10-2013,21-10-2013,16-10-2013,5,1,SO57738,19614,2638.94
933,HL Road Tire,09-10-2013,21-10-2013,16-10-2013,5,1,SO57738,19614,2638.94
922,Road Tire Tube,09-10-2013,21-10-2013,16-10-2013,5,1,SO57738,19614,2638.94
879,All-Purpose Bike Stand,09-10-2013,21-10-2013,16-10-2013,5,1,SO57738,19614,2638.94
793,"Road-250 Black, 44",18-06-2013,30-06-2013,25-06-2013,5,1,SO51488,20036,2618.62
872,Road Bottle Cage,18-06-2013,30-06-2013,25-06-2013,5,1,SO51488,20036,2618.62
870,Water Bottle - 30 oz.,18-06-2013,30-06-2013,25-06-2013,5,1,SO51488,20036,2618.62
873,Patch Kit/8 Patches,18-06-2013,30-06-2013,25-06-2013,5,1,SO51488,20036,2618.62
879,All-Purpose Bike Stand,18-06-2013,30-06-2013,25-06-2013,5,1,SO51488,20036,2618.62
793,"Road-250 Black, 44",29-06-2013,11-07-2013,06-07-2013,5,1,SO51676,20037,2595.95
933,HL Road Tire,29-06-2013,11-07-2013,06-07-2013,5,1,SO51676,20037,2595.95
876,Hitch Rack - 4-Bike,29-06-2013,11-07-2013,06-07-2013,5,1,SO51676,20037,2595.95
796,"Road-250 Black, 58",07-10-2013,19-10-2013,14-10-2013,5,1,SO57599,16431,2587.84
876,Hitch Rack - 4-Bike,07-10-2013,19-10-2013,14-10-2013,5,1,SO57599,16431,2587.84
859,"Half-Finger Gloves, M",07-10-2013,19-10-2013,14-10-2013,5,1,SO57599,16431,2587.84
793,"Road-250 Black, 44",28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
933,HL Road Tire,28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
922,Road Tire Tube,28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
880,Hydration Pack - 70 oz.,28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
711,"Sport-100 Helmet, Blue",28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
712,AWC Logo Cap,28-10-2013,09-11-2013,04-11-2013,5,1,SO58784,27944,2578.91
794,"Road-250 Black, 48",16-09-2013,28-09-2013,23-09-2013,5,1,SO56314,16373,2578.43
922,Road Tire Tube,16-09-2013,28-09-2013,23-09-2013,5,1,SO56314,16373,2578.43
933,HL Road Tire,16-09-2013,28-09-2013,23-09-2013,5,1,SO56314,16373,2578.43
708,"Sport-100 Helmet, Black",16-09-2013,28-09-2013,23-09-2013,5,1,SO56314,16373,2578.43
865,"Classic Vest, M",16-09-2013,28-09-2013,23-09-2013,5,1,SO56314,16373,2578.43
796,"Road-250 Black, 58",11-12-2013,23-12-2013,18-12-2013,5,1,SO61956,20452,2578.43
933,HL Road Tire,11-12-2013,23-12-2013,18-12-2013,5,1,SO61956,20452,2578.43
922,Road Tire Tube,11-12-2013,23-12-2013,18-12-2013,5,1,SO61956,20452,2578.43
866,"Classic Vest, L",11-12-2013,23-12-2013,18-12-2013,5,1,SO61956,20452,2578.43
711,"Sport-100 Helmet, Blue",11-12-2013,23-12-2013,18-12-2013,5,1,SO61956,20452,2578.43
793,"Road-250 Black, 44",06-08-2013,18-08-2013,13-08-2013,5,1,SO53970,18696,2571.30
